PLAYER,FIRST_NAME,LAST_NAME,POS,YEAR,RNK,STAR,247_SCORE,COLLEGE,CITY,STATE,LAT,LNG,HIGH_SCHOOL
Dominick Jones,Dominick,Jones,CB,2012,2208,2,0.7682,Louisiana-Lafayette,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Jack Mervin,Jack,Mervin,OT,2012,2481,2,0.7616,Louisiana-Monroe,New Orleans,LA,30.03280175,-89.97500545,De La Salle
Leonard Washington,Leonard,Washington,DT,2012,2591,2,0.7531,FIU,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Kedrick Banks,Kedrick,Banks,WR,2012,2600,2,0.7531,Tulane,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Marcel Andry,Marcel,Andry,DT,2012,2637,2,0.7498,NoCollege,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Ralph Freibert,Ralph,Freibert,K,2012,3095,1,0.6998,Army,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Jimmy Clausen,Jimmy,Clausen,PRO,2007,2,5,0.9988,Notre Dame,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Marc Tyler,Marc,Tyler,RB,2007,7,5,0.997,USC,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Michael Ebbitt,Michael,Ebbitt,SDE,2007,175,4,0.9153,Texas A&M,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Anthony Gildon,Anthony,Gildon,CB,2007,216,4,0.8955,Oregon,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Casey Matthews,Casey,Matthews,ILB,2007,347,3,0.8764,Oregon,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Sean Wiser,Sean,Wiser,WR,2007,622,3,0.851,Stanford,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Cory Yriarte,Cory,Yriarte,OG,2007,1273,3,0.8052,Boise State,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Chris Owusu,Chris,Owusu,WR,2008,335,3,0.8895,Stanford,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Chris Potter,Chris,Potter,ATH,2008,1029,3,0.8309,Boise State,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Jordan Mannisto,Jordan,Mannisto,K,2008,1271,3,0.8111,Houston,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
Chris Coyle,Chris,Coyle,TE,2009,863,3,0.8542,Arizona State,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
John Lister,John,Lister,RB,2009,2162,2,0.7444,Hawaii,Thousand Oaks,CA,34.17142715,-118.9105877,Thousand Oaks
Malcolm Jones,Malcolm,Jones,RB,2010,48,4,0.9748,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Cassius Marsh,Cassius,Marsh,DT,2010,118,4,0.9441,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Eric Kohler,Eric,Kohler,OG,2010,212,4,0.9165,Washington,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Nick Montana,Nick,Montana,PRO,2010,344,4,0.8906,Washington,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Zac Stout,Zac,Stout,ILB,2010,416,3,0.8806,Brigham Young,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Alani Fua,Alani,Fua,WDE,2010,789,3,0.8608,Brigham Young,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Dillon Van der wal,Dillon,Van der wal,TE,2011,224,4,0.9036,Vanderbilt,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Richard Mullaney,Richard,Mullaney,WR,2011,705,3,0.8512,Oregon State,Thousand Oaks,CA,34.17142715,-118.9105877,Thousand Oaks
Nelson Spruce,Nelson,Spruce,WR,2011,1049,3,0.8331,Colorado,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
Blair Holliday,Blair,Holliday,WR,2011,1119,3,0.8278,Duke,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Nick Isham,Nick,Isham,PRO,2011,2272,2,0.7333,Louisiana Tech,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
Jordan Payton,Jordan,Payton,WR,2012,135,4,0.9427,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Ishmael Adams,Ishmael,Adams,CB,2012,136,4,0.9427,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Carlos Mendoza,Carlos,Mendoza,OLB,2012,916,3,0.8468,Arizona State,Thousand Oaks,CA,34.17142715,-118.9105877,Oaks Christian
Justin Solis,Justin,Solis,DT,2012,929,3,0.8459,Colorado,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
Cody Tuttle,Cody,Tuttle,WR,2012,1302,3,0.8231,Nevada,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
John Stuart,John,Stuart,WDE,2012,1355,3,0.82,Colorado,Thousand Oaks,CA,34.17142715,-118.9105877,Westlake
Eric Berry,Eric,Berry,CB,2007,3,5,0.9986,Tennessee,Fairburn,GA,33.5670562,-84.5810418,Creekside
Terrance Parks,Terrance,Parks,S,2008,177,4,0.922,Florida State,Fairburn,GA,33.5670562,-84.5810418,Creekside
Corey Redwine,Corey,Redwine,DT,2011,2040,2,0.7593,Tulane,Fairburn,GA,33.5670562,-84.5810418,Creekside
Joshua Holsey,Joshua,Holsey,CB,2012,157,4,0.9358,Auburn,Fairburn,GA,33.5670562,-84.5810418,Creekside
Davion Tookes,Davion,Tookes,CB,2012,778,3,0.8574,Virginia Tech,Fairburn,GA,33.5670562,-84.5810418,Creekside
Marvin Austin,Marvin,Austin,DT,2007,4,5,0.9979,North Carolina,Washington,DC,38.8949549,-77.0366456,Ballou
Arrelious Benn,Arrelious,Benn,WR,2007,12,5,0.9937,Illinois,Washington,DC,38.8949549,-77.0366456,Dunbar
Lamar Milstead,Lamar,Milstead,OT,2007,256,3,0.8875,Virginia,Washington,DC,38.8949549,-77.0366456,Coolidge
Tony Tucker,Tony,Tucker,WDE,2007,260,3,0.8875,Pittsburgh,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Nathan Bussey,Nathan,Bussey,ATH,2007,646,3,0.8497,Illinois,Washington,DC,38.8949549,-77.0366456,Dunbar
Dwan Thornton,Dwan,Thornton,RB,2007,1128,3,0.8118,Kent State,Washington,DC,38.8949549,-77.0366456,Ballou
Carl Russell,Carl,Russell,SDE,2007,2182,2,0.7,Maryland,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Reggie Ellis,Reggie,Ellis,DT,2008,365,3,0.8844,Illinois,Washington,DC,38.8949549,-77.0366456,Dunbar
Cameron Johnson,Cameron,Johnson,S,2008,666,3,0.8556,Virginia,Washington,DC,38.8949549,-77.0366456,Gonzaga
Jharron Armstrong,Jharron,Armstrong,ATH,2008,769,3,0.8497,Kent State,Washington,DC,38.8949549,-77.0366456,Dunbar
Gerald Moore,Gerald,Moore,ATH,2008,970,3,0.8333,Ohio,Washington,DC,38.8949549,-77.0366456,St. John's College HS
A.J. Francis,A.J.,Francis,DT,2008,993,3,0.8333,Maryland,Washington,DC,38.8949549,-77.0366456,Gonzaga
Cedric Hammond,Cedric,Hammond,WR,2008,1157,3,0.8163,Temple,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Ugochukwu Uzodinma,Ugochukwu,Uzodinma,WDE,2008,1678,2,0.7667,Illinois,Washington,DC,38.8949549,-77.0366456,Dunbar
Dion Guy,Dion,Guy,OLB,2008,1786,2,0.7667,North Carolina,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Johnson Bademosi,Johnson,Bademosi,CB,2008,2058,2,0.7,Stanford,Washington,DC,38.8949549,-77.0366456,Gonzaga
Josh Stover,Josh,Stover,OLB,2008,2141,2,0.7,Kent State,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Peter White,Peter,White,OG,2009,215,4,0.9108,Maryland,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Deon Long,Deon,Long,WR,2009,241,4,0.9049,West Virginia,Washington,DC,38.8949549,-77.0366456,Dunbar
Darrin Drakeford,Darrin,Drakeford,OLB,2009,849,3,0.8542,Maryland,Washington,DC,38.8949549,-77.0366456,Roosevelt
Derrell Person,Derrell,Person,WR,2009,862,3,0.8542,New Mexico,Washington,DC,38.8949549,-77.0366456,Coolidge
