Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
3,95,SEA,Delano Hill\HillDe02,SS,21,2017,Michigan
3,96,DET,Kenny Golladay\GollKe00,WR,23,2017,Northern Illinois
3,97,MIA,Cordrea Tankersley\TankCo00,CB,23,2017,Clemson
3,98,ARI,Chad Williams\WillCh05,WR,22,2017,Grambling St.
3,99,PHI,Rasul Douglas\DougRa00,CB,22,2017,West Virginia
3,100,TEN,Jonnu Smith\SmitJo01,TE,22,2017,Florida International
3,101,DEN,Brendan Langley\LangBr00,CB,22,2017,Lamar
3,102,SEA,Nazair Jones\JoneNa00,DT,22,2017,North Carolina
3,103,NOR,Trey Hendrickson\HendTr00,OLB,22,2017,Florida Atlantic
3,104,SFO,C.J. Beathard\BeatC.00,QB,23,2017,Iowa
3,105,PIT,James Conner\ConnJa00,RB,22,2017,Pittsburgh
3,106,SEA,Amara Darboh\DarbAm00,WR,23,2017,Michigan
3,107,TAM,Kendell Beckwith\BeckKe00,ILB,22,2017,LSU
4,108,GNB,Vince Biegel\BiegVi00,LB,24,2017,Wisconsin
4,109,MIN,Jaleel Johnson\JohnJa09,DT,23,2017,Iowa
4,110,JAX,Dede Westbrook\WestDe00,WR,23,2017,Oklahoma
4,111,SEA,Tedric Thompson\ThomTe00,FS,22,2017,Colorado
4,112,CHI,Eddie Jackson\JackEd01,S,24,2017,Alabama
4,113,LAC,Rayshawn Jenkins\JenkRa00,S,23,2017,Miami (FL)
4,114,WAS,Samaje Perine\PeriSa00,RB,22,2017,Oklahoma
4,115,ARI,Dorian Johnson\JohnDo03,G,22,,Pittsburgh
4,116,CIN,Carl Lawson\LawsCa00,OLB,22,2017,Auburn
4,117,LAR,Josh Reynolds\ReynJo00,WR,22,2017,Texas A&M
4,118,PHI,Mack Hollins\HollMa00,WR,24,2017,North Carolina
4,119,CHI,Tarik Cohen\CoheTa00,RB,22,2017,North Carolina A&T
4,120,MIN,Ben Gedeon\GedeBe00,ILB,22,2017,Michigan
4,121,SFO,Joe Williams\WillJo12,RB,24,,Utah
4,122,BAL,Nico Siragusa\SiraNi00,G,23,,San Diego St.
4,123,WAS,Montae Nicholson\NichMo00,S,21,2017,Michigan St.
4,124,DET,Jalen Reeves-Maybin\ReevJa00,LB,22,2017,Tennessee
4,125,LAR,Samson Ebukam\EbukSa00,OLB,22,2017,East. Washington
4,126,CLE,Howard Wilson\WilsHo00,CB,21,,Houston
4,127,DET,Michael Roberts\RobeMi01,TE,23,2017,Toledo
4,128,CIN,Josh Malone\MaloJo00,WR,21,2017,Tennessee
4,129,OAK,David Sharpe\SharDa02,T,21,2017,Florida
4,130,HOU,Julie'n Davenport\DaveJu00,T,22,2017,Bucknell
4,131,NWE,Deatrich Wise Jr.\WiseDe00,DE,23,2017,Arkansas
4,132,PHI,Donnel Pumphrey\PumpDo00,RB,22,,San Diego St.
4,133,DAL,Ryan Switzer\SwitRy00,WR,22,2017,North Carolina
4,134,GNB,Jamaal Williams\WillJa06,RB,22,2017,BYU
4,135,PIT,Joshua Dobbs\DobbJo00,QB,22,,Tennessee
4,136,ATL,Sean Harlow\HarlSe00,G,22,,Oregon St.
4,137,IND,Zach Banner\BannZa00,T,23,2017,USC
4,138,CIN,Ryan Glasgow\GlasRy00,DT,24,2017,Michigan
4,139,KAN,Jehu Chesson\ChesJe00,WR,23,2017,Michigan
4,140,NYG,Wayne Gallman\GallWa00,RB,23,2017,Clemson
4,141,NYJ,Chad Hansen\HansCh00,WR,22,2017,California
4,142,HOU,Carlos Watkins\WatkCa00,DT,23,2017,Clemson
4,143,IND,Marlon Mack\MackMa00,RB,21,2017,South Florida
4,144,IND,Grover Stewart\StewGr00,DT,23,2017,Albany State (GA)
5,145,DEN,Jake Butt\ButtJa00,TE,22,,Michigan
5,146,SFO,George Kittle\KittGe00,TE,23,2017,Iowa
5,147,CHI,Jordan Morgan\MorgJo02,G,25,,Kutztown Pennsylvania
5,148,JAX,Blair Brown\BrowBl00,LB,23,2017,Ohio
5,149,ATL,Damontae Kazee\KazeDa00,CB,24,2017,San Diego St.
5,150,NYJ,Jordan Leggett\LeggJo00,TE,22,,Clemson
5,151,LAC,Desmond King\KingDe01,S,22,2017,Iowa
5,152,CAR,Corn Elder\EldeCo00,CB,22,,Miami (FL)
5,153,CIN,Jake Elliott\ElliJa03,K,22,2017,Memphis
5,154,WAS,Jeremy Sprinkle\SpriJe00,TE,23,2017,Arkansas
5,155,TEN,Jayon Brown\BrowJa06,LB,22,2017,UCLA
5,156,ATL,Brian Hill\HillBr02,RB,21,2017,Wyoming
5,157,ARI,Will Holden\HoldWi00,T,24,2017,Vanderbilt
5,158,IND,Nate Hairston\HairNa00,CB,23,2017,Temple
5,159,BAL,Jermaine Eluemunor\ElueJe00,G,22,2017,Texas A&M
5,160,CLE,Roderick Johnson\JohnRo06,T,21,,Florida St.
5,161,IND,Anthony Walker\WalkAn01,LB,22,2017,Northwestern
5,162,TAM,Jeremy McNichols\McNiJe00,RB,21,2017,Boise St.
5,163,BUF,Matt Milano\MilaMa00,LB,23,2017,Boston Col.
5,164,MIA,Isaac Asiata\AsiaIs00,G,24,2017,Utah
5,165,DET,Jamal Agnew\AgneJa00,CB,22,2017,San Diego
5,166,PHI,Shelton Gibson\GibsSh00,WR,22,2017,West Virginia
5,167,NYG,Avery Moss\MossAv00,DE,23,2017,Youngstown St.
5,168,OAK,Marquel Lee\LeexMa01,LB,21,2017,Wake Forest
5,169,HOU,Treston Decoud\DecoTr00,S,24,2017,Oregon St.
5,170,MIN,Rodney Adams\AdamRo01,WR,23,2017,South Florida
