PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
Malik Jackson,DT,2008,348,3,0.8875,USC,Van Nuys,CA,34.1866581,-118.448729,2012,5,137,DEN,DT,Tennessee
Vadal Alexander,OG,2012,167,4,0.9324,LSU,Buford,GA,34.1206564,-84.0043513,2016,7,234,OAK,G,LSU
Coty Sensabaugh,CB,2007,1766,2,0.7444,Clemson,Kingsport,TN,36.550238,-82.5594293,2012,4,115,TEN,DB,Clemson
Telvin Smith,OLB,2010,151,4,0.9323,Florida State,Valdosta,GA,30.8327022,-83.2784851,2014,5,144,JAX,LB,Florida State
Josh Harvey-Clemons,OLB,2012,22,5,0.989,Georgia,Valdosta,GA,30.8327022,-83.2784851,2017,7,230,WAS,S,Louisville
Matthew Wells,ATH,2010,325,4,0.8928,Mississippi State,Monticello,MS,31.5536678,-90.1072865,2015,6,178,NWE,LB,Mississippi State
Alfred Blue,RB,2010,758,3,0.8622,LSU,Boutte,LA,29.9024284,-90.3881369,2014,6,181,HOU,RB,LSU
Garrett Scott,OG,2010,1780,3,0.8111,Marshall,Douglas,GA,33.6995565,-84.7622973,2014,6,199,SEA,OL,Marshall
Andre Williams,RB,2010,703,3,0.8639,Boston College,Allentown,PA,40.6022059,-75.4712794,2014,4,113,NYG,RB,Boston College
Janoris Jenkins,CB,2008,55,4,0.9744,Florida,Pahokee,FL,26.8200607,-80.6653351,2012,2,39,STL,DB,North Alabama
Denard Robinson,ATH,2009,121,4,0.9427,Michigan,Deerfield Beach,FL,26.318342,-80.0996306,2013,5,135,JAX,WR,Michigan
Sammie Coates,WR,2011,334,3,0.8795,Auburn,Leroy,AL,31.5046086,-87.9847237,2015,3,87,PIT,WR,Auburn
Marquess Wilson,WR,2010,1499,3,0.8333,Washington State,Tulare,CA,36.2516475,-118.852583,2013,7,236,CHI,WR,Washington State
Joshua Perry,OLB,2012,133,4,0.9436,Ohio State,Lewis Center,OH,40.1983958,-83.0101843,2016,4,102,SDG,ILB,Ohio State
Jimmy Staten,SDE,2009,2007,2,0.7667,Middle Tennessee State,Waycross,GA,31.2135511,-82.3540178,2014,5,172,SEA,DT,Middle Tennessee State
Andrus Peat,OT,2012,31,5,0.9849,Stanford,Tempe,AZ,33.4144139,-111.9094474,2015,1,13,NOR,T,Stanford
Avery Moss,WDE,2012,799,3,0.8552,Nebraska,Tempe,AZ,33.4144139,-111.9094474,2017,5,167,NYG,DE,Youngstown State
Marcus Cooper,WR,2008,941,3,0.8337,Rutgers,Bloomfield,CT,41.826488,-72.7300945,2013,7,252,SFO,DB,Rutgers
James Carpenter,OG,2007,1879,2,0.7444,Iowa State,Hephzibah,GA,33.3140311,-82.0967857,2011,1,25,SEA,T,Alabama
Terrelle Pryor,DUAL,2008,2,5,0.9997,Ohio State,Jeannette,PA,40.3281247,-79.6153198,2011,3,0,OAK,QB,Ohio State
Kawann Short,DT,2008,692,3,0.8556,Purdue,East Chicago,IN,41.6397857,-87.4548466,2013,2,44,CAR,DT,Purdue
Cody Core,WR,2012,1694,3,0.8018,Mississippi,Auburn,AL,32.6848205,-85.48827731,2016,6,199,CIN,WR,Mississippi
Willie Beavers,OT,2011,1273,3,0.8155,Illinois,Southfield,MI,42.4733689,-83.2218731,2016,4,121,MIN,T,Western Michigan
D.J. Alexander,OLB,2010,1245,3,0.8434,Oregon State,Palm Desert,CA,33.7288179,-116.3825711,2015,5,172,KAN,OLB,Oregon State
Tavon Austin,WR,2009,183,4,0.9188,West Virginia,Baltimore,MD,39.2908816,-76.610759,2013,1,8,STL,WR,West Virginia
Adrian Amos,CB,2011,939,3,0.8378,Penn State,Baltimore,MD,39.2908816,-76.610759,2015,5,142,CHI,FS,Penn State
Cyrus Jones,ATH,2012,44,4,0.9788,Alabama,Baltimore,MD,39.2908816,-76.610759,2016,2,60,NWE,CB,Alabama
Charles Tapper,WDE,2012,352,4,0.8933,Oklahoma,Baltimore,MD,39.2908816,-76.610759,2016,4,101,DAL,DE,Oklahoma
Joey Iosefa,ATH,2009,1975,2,0.7667,Hawaii,Pago Pago,AS,-14.2754786,-170.7048298,2015,7,231,TAM,FB,Hawaii
Kyshoen Jarrett,CB,2011,175,4,0.9197,Virginia Tech,East Stroudsburg,PA,40.9995386,-75.1812913,2015,6,181,WAS,SS,Virginia Tech
James-Michael Johnson,OLB,2007,2016,2,0.7222,Nevada,Fairfield,CA,38.2493581,-122.0399663,2012,4,120,CLE,LB,Nevada
Deone Bucannon,S,2010,526,3,0.8733,Washington State,Fairfield,CA,38.2493581,-122.0399663,2014,1,27,ARI,DB,Washington State
Preston Smith,WDE,2011,1668,2,0.7782,Mississippi State,Stone Mountain,GA,33.8062166,-84.1457505,2015,2,38,WAS,DE,Mississippi State
Ukeme Eligwe,OLB,2012,68,4,0.9683,Florida State,Stone Mountain,GA,33.8062166,-84.1457505,2017,5,183,KAN,LB,Georgia Southern
T.J. Graham,WR,2008,834,3,0.8431,N.C. State,Raleigh,NC,35.7803977,-78.6390989,2012,3,69,BUF,WR,North Carolina State
Juston Burris,ATH,2011,1374,3,0.8073,N.C. State,Raleigh,NC,35.7803977,-78.6390989,2016,4,118,NYJ,CB,North Carolina State
Keith Marshall,APB,2012,13,5,0.9919,Georgia,Raleigh,NC,35.7803977,-78.6390989,2016,7,242,WAS,RB,Georgia
Dennis Kelly,OT,2008,1665,2,0.7667,Purdue,Chicago Heights,IL,41.5062834,-87.6357079,2012,5,153,PHI,T,Purdue
Chandler Jones,TE,2008,1723,2,0.7667,Syracuse,Endicott,NY,42.098408,-76.0493684,2012,1,21,NWE,DE,Syracuse
Steven Means,WDE,2008,2038,2,0.7,Buffalo,Buffalo,NY,42.8867166,-78.8783922,2013,5,147,TAM,DE,Buffalo
John Urschel,OG,2009,1998,2,0.7667,Penn State,Buffalo,NY,42.8867166,-78.8783922,2014,5,175,BAL,G,Penn State
Chad Kelly,DUAL,2012,187,4,0.9264,Clemson,Buffalo,NY,42.8867166,-78.8783922,2017,7,253,DEN,QB,Mississippi
Greg Robinson,OT,2011,124,4,0.9389,Auburn,Thibodaux,LA,29.7957633,-90.822871,2014,1,2,STL,T,Auburn
Avery Williamson,ILB,2010,1002,3,0.8528,Kentucky,Milan,TN,35.9197886,-88.7589489,2014,5,151,TEN,LB,Kentucky
Blidi Wreh-Wilson,CB,2008,1730,2,0.7667,Connecticut,Edinboro,PA,41.8742225,-80.1317236,2013,3,70,TEN,DB,Connecticut
Jason Pierre-Paul,SDE,2007,2159,2,0.7222,UCF,Fort Scott,KS,37.8399791,-94.7082882,2010,1,15,NYG,DE,South Florida
Demario Davis,OLB,2007,2197,2,0.7,Arkansas State,Brandon,MS,32.2731475,-89.9868058,2012,3,77,NYJ,LB,Arkansas State
Brad Smelley,TE,2008,736,3,0.851,Alabama,Tuscaloosa,AL,33.2668398,-87.4862182,2012,7,247,CLE,TE,Alabama
Vinnie Sunseri,ILB,2011,593,3,0.8575,Alabama,Tuscaloosa,AL,33.2668398,-87.4862182,2014,5,167,NOR,DB,Alabama
Da'Quan Bowers,SDE,2008,1,5,0.9997,Clemson,Bamberg,SC,33.2130154,-81.0166235,2011,2,51,TAM,DE,Clemson
A.J. Cann,OC,2010,139,4,0.9375,South Carolina,Bamberg,SC,33.2130154,-81.0166235,2015,3,67,JAX,G,South Carolina
Julio Jones,WR,2008,3,5,0.9992,Alabama,Foley,AL,30.4065868,-87.6835974,2011,1,6,ATL,WR,Alabama
D.J. Fluker,OT,2009,30,5,0.9849,Alabama,Foley,AL,30.4065868,-87.6835974,2013,1,11,SDG,T,Alabama
A.J. Green,WR,2008,7,5,0.9973,Georgia,Summerville,SC,33.0206179,-80.1747537,2011,1,4,CIN,WR,Georgia
Senquez Golson,CB,2011,295,3,0.8876,Mississippi,Pascagoula,MS,30.3646795,-88.5585995,2015,2,56,PIT,CB,Mississippi
Nigel Bradham,OLB,2008,19,5,0.9893,Florida State,Crawfordville,FL,30.1760358,-84.3751778,2012,4,105,BUF,LB,Florida State
Mike Adams,OT,2008,21,5,0.9887,Ohio State,Dublin,OH,40.0992294,-83.1140771,2012,2,56,PIT,T,Ohio State
Tyron Smith,OT,2008,30,4,0.983,USC,Moreno Valley,CA,33.937517,-117.2305944,2011,1,9,DAL,T,USC
Ronald Powell,WDE,2010,1,5,0.9999,Florida,Moreno Valley,CA,33.937517,-117.2305944,2014,5,169,NOR,LB,Florida
Quincy Enunwa,WR,2010,554,3,0.8701,Nebraska,Moreno Valley,CA,33.937517,-117.2305944,2014,6,209,NYJ,WR,Nebraska
Blair Brown,ILB,2012,2395,2,0.7667,Ohio,Moreno Valley,CA,33.937517,-117.2305944,2017,5,148,JAX,LB,Ohio
Blaine Gabbert,PRO,2008,35,4,0.9806,Missouri,Ballwin,MO,38.5931958,-90.5459836,2011,1,10,JAX,QB,Missouri
Mike Glennon,PRO,2008,47,4,0.9773,N.C. State,Chantilly,VA,38.8943792,-77.4305118,2013,3,73,TAM,QB,North Carolina State
Dre Kirkpatrick,CB,2009,14,5,0.9918,Alabama,Gadsden,AL,33.9573115,-86.06781394,2012,1,17,CIN,DB,Alabama
John Potter,K,2008,1220,3,0.8111,Western Michigan,Grand Haven,MI,43.0630734,-86.2283864,2012,7,251,BUF,K,Western Michigan
Xzavier Dickson,SDE,2011,35,4,0.9795,Alabama,Griffin,GA,33.2467807,-84.2640904,2015,7,253,NWE,OLB,Alabama
Tavarres King,WR,2008,95,4,0.9544,Georgia,Mount Airy,GA,34.5187106,-83.5007265,2013,5,161,DEN,WR,Georgia
Courtney Upshaw,OLB,2008,101,4,0.95,Alabama,Eufaula,AL,31.8912717,-85.1454876,2012,2,35,BAL,LB,Alabama
Landry Jones,PRO,2008,102,4,0.9497,Oklahoma,Artesia,NM,32.8423345,-104.4032963,2013,4,115,PIT,QB,Oklahoma
Andre Ellington,APB,2008,107,4,0.9471,Clemson,Moncks Corner,SC,33.1960027,-80.0131374,2013,6,187,ARI,RB,Clemson
Bruce Ellington,ATH,2010,74,4,0.9653,N/A,Moncks Corner,SC,33.1960027,-80.0131374,2014,4,106,SFO,WR,South Carolina
Dwayne Allen,TE,2008,124,4,0.9381,Clemson,Fayetteville,NC,35.0525759,-78.878292,2012,3,64,IND,TE,Clemson
Kentrell Brothers,OLB,2011,602,3,0.8568,Missouri,Guthrie,OK,35.8789231,-97.4252772,2016,5,160,MIN,OLB,Missouri
Charles Mitchell,S,2008,133,4,0.9349,Mississippi State,Clarksdale,MS,34.2001086,-90.5709323,2012,6,192,ATL,DB,Mississippi State
Donald Brown,S,2009,2124,2,0.7444,Marshall,Frostproof,FL,27.7458626,-81.5306313,2009,1,27,IND,RB,Connecticut
Bobby Massie,OT,2008,154,4,0.9281,N/A,Lynchburg,VA,37.40088,-79.18449239,2012,4,112,ARI,T,Mississippi
Logan Thomas,PRO,2009,52,4,0.9742,Virginia Tech,Lynchburg,VA,37.40088,-79.18449239,2014,4,120,ARI,QB,Virginia Tech
Morgan Moses,OT,2009,86,4,0.9597,Virginia,Fork Union,VA,37.7632986,-78.2626198,2014,3,66,WAS,OL,Virginia
Isaiah Battle,OT,2011,1027,3,0.8333,Clemson,Fork Union,VA,37.7632986,-78.2626198,2015,5,0,STL,T,Clemson
Barrett Jones,OG,2008,161,4,0.9269,Alabama,Ridgely,TN,36.263401,-89.4878528,2013,4,113,STL,G,Alabama
Cornelius Washington,OLB,2008,170,4,0.9248,Georgia,Waynesboro,GA,33.0898731,-82.0156736,2013,6,188,CHI,LB,Georgia
Nat Berhe,S,2009,821,3,0.8556,San Diego State,Colton,CA,34.0739016,-117.3136547,2014,5,152,NYG,DB,San Diego State
Tyler Ervin,ATH,2011,1568,2,0.7884,San Jose State,Colton,CA,34.0739016,-117.3136547,2016,4,119,HOU,RB,San Jose State
Quandre Diggs,ATH,2011,66,4,0.9655,Texas,Angleton,TX,29.16941,-95.4318847,2015,6,200,DET,CB,Texas
Ben Jones,OC,2008,195,4,0.9156,Georgia,Centreville,AL,32.9445682,-87.1386067,2012,4,99,HOU,C,Georgia
Zac Stacy,RB,2009,747,3,0.859,Vanderbilt,Centreville,AL,32.9445682,-87.1386067,2013,5,160,STL,RB,Vanderbilt
Kendall Wright,ATH,2008,222,4,0.9082,Baylor,Pittsburg,TX,32.9954021,-94.9657688,2012,1,20,TEN,WR,Baylor
Geneo Grissom,SDE,2010,227,4,0.9123,Oklahoma,Hutchinson,KS,38.0608444,-97.9297743,2015,3,97,NWE,DE,Oklahoma
Ben Heeney,OLB,2011,1231,3,0.818,Kansas,Hutchinson,KS,38.0608444,-97.9297743,2015,5,140,OAK,ILB,Kansas
Brandon Boykin,CB,2008,252,4,0.902,Georgia,Fayetteville,GA,33.4487257,-84.4549262,2012,4,123,PHI,DB,Georgia
Roberto Aguayo,K,2012,791,3,0.8561,Florida State,Groveland,FL,28.5580546,-81.8511889,2016,2,59,TAM,K,Florida State
Markelle Martin,S,2008,260,4,0.9005,Oklahoma State,Wichita Falls,TX,33.9137085,-98.4933873,2012,6,190,TEN,DB,Oklahoma State
Jarius Wright,WR,2008,262,4,0.8995,Arkansas,Warren,AR,33.6126086,-92.0645831,2012,4,118,MIN,WR,Arkansas
Greg Childs,WR,2008,523,3,0.8684,Arkansas,Warren,AR,33.6126086,-92.0645831,2012,4,134,MIN,WR,Arkansas
Chris Gragg,TE,2008,1227,3,0.8111,Arkansas,Warren,AR,33.6126086,-92.0645831,2013,7,222,BUF,TE,Arkansas
Jeremy Ebert,ATH,2008,1119,3,0.8212,Northwestern,Hilliard,OH,40.033814,-83.1596108,2012,7,235,NWE,WR,Northwestern
Vince Williams,ILB,2008,269,4,0.8981,Florida State,Davenport,FL,28.1614046,-81.6017417,2013,6,206,PIT,LB,Florida State
