Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
4,110,DAL,David Arkin\ArkiDa00,G,23,2016,Missouri State
4,111,MIA,Clyde Gates\GateCl00,WR,25,2013,Abilene Christian
4,112,STL,Greg Salas\SalaGr00,WR,23,2016,Hawaii
4,113,OAK,Chimdi Chekwa\ChekCh00,DB,23,2016,Ohio St.
4,114,JAX,Cecil Shorts\ShorCe00,WR,23,2016,Mount Union
4,115,SFO,Kendall Hunter\HuntKe00,RB,23,2015,Oklahoma St.
4,116,PHI,Casey Matthews\MattCa00,LB,22,2014,Oregon
4,117,NYG,James Brewer\BrewJa00,T,23,2014,Indiana
4,118,KAN,Jalil Brown\BrowJa00,DB,23,2015,Colorado
4,119,IND,Delone Carter\CartDe01,RB,24,2013,Syracuse
4,120,PHI,Alex Henery\HeneAl00,K,24,2014,Nebraska
4,121,JAX,Chris Prosinski\ProsCh00,DB,24,2017,Wyoming
4,122,BUF,Chris Hairston\HairCh00,T,22,2017,Clemson
4,123,BAL,Tandon Doss\DossTa00,WR,22,2014,Indiana
4,124,CLE,Owen Marecic\MareOw00,RB,22,2012,Stanford
4,125,OAK,Taiwan Jones\JoneTa00,RB,23,2017,East. Washington
4,126,NYJ,Bilal Powell\PoweBi00,RB,22,2017,Louisville
4,127,HOU,Roc Carmichael\CarmRo00,DB,23,2014,Virginia Tech
4,128,PIT,Cortez Allen\AlleCo00,DB,22,2015,The Citadel
4,129,DEN,Julius Thomas\ThomJu00,TE,23,2017,Portland St.
4,130,TEN,Jamie Harper\HarpJa01,RB,22,2012,Clemson
4,131,GNB,Davon House\HousDa00,DB,22,2017,New Mexico St.
5,132,CAR,Kealoha Pilares\PilaKe00,WR,23,2012,Hawaii
5,133,BUF,Johnny White\WhitJo01,RB,23,2012,North Carolina
5,134,CIN,Robert Sands\SandRo00,DB,21,2012,West Virginia
5,135,KAN,Ricky Stanzi\StanRi00,QB,24,2014,Iowa
5,136,ARI,Anthony Sherman\SherAn00,RB,22,2017,Connecticut
5,137,CLE,Buster Skrine\SkriBu00,DB,22,2017,Tenn-Chattanooga
5,138,NWE,Marcus Cannon\CannMa00,T,23,2017,TCU
5,139,MIN,Brandon Burton\BurtBr00,DB,22,2013,Southern Utah
5,140,KAN,Gabe Miller\MillGa00,LB,23,2014,Oregon St.
5,141,GNB,D.J. Williams\WillD.00,TE,23,2014,Arkansas
5,142,TEN,Karl Klug\KlugKa00,DT,23,2017,Iowa
5,143,DAL,Josh Thomas\ThomJo01,DB,22,2015,Buffalo
5,144,HOU,Shiloh Keo\KeoxSh00,DB,23,2016,Idaho
5,145,ATL,Jacquizz Rodgers\RodgJa00,RB,21,2017,Oregon St.
5,146,WAS,DeJon Gomes\GomeDe00,DB,21,2013,Nebraska
5,147,JAX,Rod Issac\IssaRo00,DB,22,2011,Middle Tenn. St.
5,148,OAK,Denarius Moore\MoorDe02,WR,22,2015,Tennessee
5,149,PHI,Dion Lewis\LewiDi00,RB,21,2017,Pittsburgh
5,150,CLE,Jason Pinkston\PinkJa00,T,24,2013,Pittsburgh
5,151,TAM,Ahmad Black\BlacAh00,DB,21,2013,Florida
5,152,HOU,T.J. Yates\YateT.00,QB,24,2017,North Carolina
5,153,NYJ,Jeremy Kerley\KerlJe00,WR,22,2017,TCU
5,154,SEA,Richard Sherman\SherRi00,DB,23,2017,Stanford
5,155,WAS,Niles Paul\PaulNi00,WR,22,2017,Nebraska
5,156,SEA,Mark LeGree\LegrMa00,DB,22,,Appalachian St.
5,157,DET,Doug Hogue\HoguDo01,LB,22,2012,Syracuse
5,158,STL,Jermale Hines\HineJe00,DB,23,2011,Ohio St.
5,159,NWE,Lee Smith\SmitLe00,TE,23,2017,Tennessee
5,160,CHI,Nathan Enderle\EndeNa00,QB,23,,Idaho
5,161,PHI,Julian Vandervelde\VandJu00,G,23,2015,Iowa
5,162,PIT,Chris Carter\CartCh00,LB,22,2017,Fresno St.
5,163,SFO,Daniel Kilgore\KilgDa00,G,23,2017,Appalachian St.
